"Name","HomeType","EnabledByCalendar","DefaultBackground","FreeBackground","RequiredTHLevel","PurchasePrice","TID","SWF","SWFMidQuality","SWFLowQuality","Foreground","Background","AdditiveLayer","TopLayer","BaseSWF","BuildingBasesSWF","Icon","IconAnimSWF","IconAnimExportName","Thumbnail","MakeCreator","VillageObjectLocator","ParallaxLayer","ParallaxStrength","NightMode","Music","ClanBadgeClip","Component","MaxZoom","IsLarge","MinZoomAtEdge","EnterAnimSWF","EnterAnimExportName","EnterAnimEffectName","ClickableTriggerInstanceName","ClickableGroup","ClickableSpawnInstanceName","ClickableSWF","ClickableExportName","ClickableSfx","ClickableSfxVolume"
"EpicJungle","HOME",,,,,,"TID_SCENERY_EPIC_JUNGLE","sc/scenery_epic_jungle_dl_opt.sc",,,"Player_Background",,,,,,"image/background_icons/scenery_epic_jungle_dl_opt.sctx",,,"image/background_icons/epic_jungle_bgr_image_dl_opt.sctx",,"Shipyard:ship_location",,,,"music/Epic_Jungle_Scenery_Amb_Music_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"WarMake","WAR",,,,,,"TID_INFERNO_TOWN_SCENERY","sc/scenery_war_dl_opt.sc",,,"Player_war_bg",,,,,,"image/background_icons/scenery_warbase_make_dl_opt.sctx",,,"image/background_icons/make_war_bgr_image_dl_opt.sctx","ThiagoMessias",,,,,"music/clash_war_scenery_01_dl_opt.ogg",,,,,,,,,,,,,,,
"Festival","HOME",,,,,,"TID_9TH_CLASHIVERSARY_SCENERY","sc/scenery_9yanniversary_dl_opt.sc",,,"Player_Background",,,,,,"image/background_icons/scenery_9th_anniversary_dl_opt.sctx",,,"image/background_icons/party_bgr_image_dl_opt.sctx",,,,,,"music/9th_Anniversay_Scenery_Music_dl_opt.ogg",,,,,,,,,,,,,,,
"SpookyVillage","HOME",,,,,,"TID_PUMPKIN_GRAVEYARD_SCENERY","sc/scenery_spooky_village_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_spooky_dl_opt.sc","sc/scenery_bases_spooky_dl_opt.sc","image/background_icons/spooky_scenery_dl_opt.sctx",,,"image/background_icons/spooky_bgr_image_dl_opt.sctx","Naji Kadalayi",,"background",-15,,"music/clash_halloween_scenery_01_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground",15,,,,,,,,,,,,,,,,,
"SnowDay","HOME",,,,,,"TID_SNOWED_IN_SCENERY","sc/scenery_snowed_in_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_snowedin_dl_opt.sc","sc/scenery_bases_snowedin_dl_opt.sc","image/background_icons/scenery_snowed_in_dl_opt.sctx",,,"image/background_icons/snowed_in_image_dl_opt.sctx",,,"foreground",25,,"music/clash_winter_scenery_01_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background",-5,,,,,,,,,,,,,,,,,
"TigerMountain","HOME",,,,,,"TID_TIGER_MOUNTAIN_SCENERY","sc/scenery_cny2022_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_cny2022_dl_opt.sc","sc/scenery_bases_cny2022_dl_opt.sc","image/background_icons/scenery_lunar_ny_22_dl_opt.sctx",,,"image/background_icons/lny2022_bgr_image_dl_opt.sctx",,"Shipyard:ship_location",,,,"music/Tiger_Mountain_Scenery_Amb_Music_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"Pixel","HOME",,,,,,"TID_PIXEL_SCENERY","sc/scenery_8bit_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_8bit_dl_opt.sc","sc/scenery_bases_pixel_dl_opt.sc","image/background_icons/scenery_pixel_dl_opt.sctx",,,"image/background_icons/pixel_bgr_image_dl_opt.sctx",,,,,,"music/clash_pixel_scenery_01_dl_opt.ogg",,,,,,,,,,,,,,,
"Primal","HOME",,,,,,"TID_PRIMAL_SCENERY","sc/scenery_primal_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_primal_dl_opt.sc","sc/scenery_bases_primal_dl_opt.sc","image/background_icons/scenery_primal_dl_opt.sctx",,,"image/background_icons/primal_bgr_image_dl_opt.sctx",,,"foreground",25,,,,,,,,,,,,,,,,,
"Shadow","HOME",,,,,,"TID_SHADOW_SCENERY","sc/scenery_shadow_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_shadow_dl_opt.sc","sc/scenery_bases_shadow_dl_opt.sc","image/background_icons/scenery_shadow_dl_opt.sctx",,,"image/background_icons/shadow_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","foreground",15,,"music/Shadow_Scenery_Ambience_Plus_Music_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"Royale","HOME",,,,,,"TID_ROYALE_SCENERY","sc/scenery_royale_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_royale_dl_opt.sc",,"image/background_icons/scenery_royale_dl_opt.sctx",,,"image/background_icons/royale_bgr_image_dl_opt.sctx",,,"foreground",25,,"music/royale_scenery_amb_music_dl_opt.ogg",,,,,,,,,,,,,,,
"Summer","HOME",,,,,,"TID_SUMMER_SCENERY","sc/scenery_summer_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_summer_dl_opt.sc",,"image/background_icons/scenery_summer_dl_opt.sctx",,,"image/background_icons/summer_bgr_image_dl_opt.sctx",,,"foreground",25,,,,,,,,,,,,,,,,,
"10thAnniversary","HOME",,,,,,"TID_10TH_CLASHIVERSARY_SCENERY","sc/scenery_10yanniversary_dl_opt.sc",,,"Player_Background",,,,,,"image/background_icons/scenery_10y_dl_opt.sctx",,,"image/background_icons/10yanniversary_bgr_image_dl_opt.sctx",,"Shipyard:ship_location",,,,"music/10th_Anniversay_Scenery_Music_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"ClashFest","HOME",,,,,,"TID_CLASHFEST_SCENERY","sc/scenery_clashfest_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_clashfest_dl_opt.sc",,"image/background_icons/scenery_clashfest_dl_opt.sctx",,,"image/background_icons/clashfest_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","foreground",5,,"music/Clash_Festival_Scenery_Mix_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location","foreground2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"Magic","HOME",,,"TRUE",15,,"TID_MAGIC_SCENERY","sc/scenery_th15_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_clashfest_dl_opt.sc",,"image/background_icons/scenery_th15_dl_opt.sctx",,,"image/background_icons/th15_bgr_image_dl_opt.sctx",,,,,,"music/magical_scenery_amb_music_dl_opt.ogg",,,,,,,,,,,,,,,
"EpicMagic","HOME",,,,,,"TID_EPIC_MAGIC_SCENERY","sc/scenery_epicth15_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_clashfest_dl_opt.sc",,"image/background_icons/scenery_th15_epic_dl_opt.sctx",,,"image/background_icons/th15_epic_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","foreground",10,,"music/magical_scenery_amb_music_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location","foreground2",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"CapitalCore","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital.sc",,,"Player_Background",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_core_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2a","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Player_Background_layout2a",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2b","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Player_Background_layout2b",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2c","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Player_Background_layout2c",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"CapitalCore_Raid","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital.sc",,,"Enemy_Background",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_core_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2d","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Player_Background_layout2d",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2a_Raid","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Enemy_Background_layout2a",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2b_Raid","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Enemy_Background_layout2b",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2c_Raid","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Enemy_Background_layout2c",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Capital_layout_2d_Raid","CAPITAL",,"TRUE","TRUE",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc",,,"Enemy_Background_layout2d",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.sctx",,,"image/background_icons/clan_capital_layout2_1_bgr_image.sctx",,,"background_1",-20,,,"clan_pattern",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,,,,,,,,,,,,,,,
"Spooky2022","HOME",,,,,,"TID_SPOOKY2022_SCENERY","sc/scenery_spooky_2022_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_spooky2022_dl_opt.sc","sc/scenery_bases_spooky2022_dl_opt.sc","image/background_icons/scenery_spooky2022_dl_opt.sctx",,,"image/background_icons/spooky2022_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","foreground3",20,,"music/spooky_scenery_2022_ambandmusic_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location","foreground2",15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location","foreground1",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location","background",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background1",-10,,,,,,,,,,,,,,,,,
"clashmas_2022","HOME",,,,,,"TID_JOLLY_SCENERY","sc/scenery_clashmas_2022_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_clashmas_2022_dl_opt.sc","sc/scenery_bases_clashmas_2022_dl_opt.sc","image/background_icons/scenery_jollyscenery_dl_opt.sctx",,,"image/background_icons/jolly_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","foreground3",20,,"music/jolly_scenery_music_plus_amb_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location","foreground2",15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location","foreground1",10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location","background",-5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"background1",-10,,,,,,,,,,,,,,,,,
"Lny2023","HOME",,,,,,"TID_MAGIC_THEATRE_SCENERY","sc/scenery_lny2023_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_lny2023_dl_opt.sc","sc/scenery_bases_lny2023_dl_opt.sc","image/background_icons/scenery_lny2023_dl_opt.sctx",,,"image/background_icons/lny2023_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","foreground0",,,"music/LNY_2023_Scenery_ambience_and_music_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"Colorfest_2023","HOME",,,,,,"TID_PAINTER_SCENERY","sc/scenery_colorfest2023_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_colorfest2023_dl_opt.sc","sc/scenery_bases_colorfest2023_dl_opt.sc","image/background_icons/scenery_color2023_dl_opt.sctx",,,"image/background_icons/color_fest2023_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","background",0,,"music/painter_scnenery_amb_plus_music_01_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location","foreground_1",15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location","foreground_2",20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"BB_Stage2","BB",,,"TRUE",6,,"TID_SCENERY_CLASSIC","sc/background_player_2_cave.sc",,,"Builders_base_second_env",,,"fireflies_above",,"sc/bb_scenery_bases_cave.sc","image/background_icons/scenery_builderbase_stage02.sctx",,,"image/background_icons/bb_stage2_bgr_image.sctx",,"StageGateNext:gate_next_location","foreground_1",7,"TRUE",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"StageGatePrev:gate_prev_location","foreground_2",7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Shipyard2:ship_location","foreground_3",15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat2:boat_location","foreground_4",15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BB_harbor:harbor_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"LootCartBB:loot_cart_bb_location",,,,,,,,,,,,,,,,,,,
"BBVillageBackground","BB","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DarkAges","HOME",,,,,,"TID_DARK_AGES_SCENERY","sc/scenery_darkages2023_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_darkages2023_dl_opt.sc","sc/scenery_bases_darkages2023_dl_opt.sc","image/background_icons/scenery_darkages2023_dl_opt.sctx",,,"image/background_icons/darkages23_bgr_image_dl_opt.sctx",,"Shipyard:ship_location","background",0,,"music/Dark_Ages_Scenery_Ambience_and_music_dl_opt.ogg",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rowboat:boat_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"BalloonBus:air_ship_location",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Forge:forge_location",,,,,,,,,,,,,,,,,,,
"BooksOfClash01","HOME",,,,,,"TID_SCENERY_BOOKS_OF_CLASH","sc/scenery_booksofclash01_dl_opt.sc",,,"Player_Background",,,,"sc/scenery_gamearea_booksofclash01_dl_opt.sc","sc/scenery_bases_booksofclash01_dl_opt.sc","image/background_icons/scenery_books_of_clash_01_dl_opt.sctx",,,"image/background_icons/book_of_clash_01_bgr_image.sctx",,"Shipyard:ship_location","foreground3",20,,"music/clash_comic_book_scenery_music_dl_opt.ogg",,,,,,,,,,,,,,,
